Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.019196	1	0.035714	0
10.019196	2	0.071429	0
10.019196	3	0.107143	0
10.019196	4	0.142857	0
10.019196	5	0.178571	0
10.019196	6	0.214286	0
10.019196	7	0.250000	0
10.019196	8	0.285714	0
10.019196	9	0.321429	0
10.019196	10	0.357143	0
10.019196	28	1.000000	1
20.037031	1	0.010309	0
20.037031	2	0.020619	0
20.037031	3	0.030928	0
20.037031	4	0.041237	0
20.037031	5	0.051546	0
20.037031	6	0.061856	0
20.037031	7	0.072165	0
20.037031	8	0.082474	0
20.037031	9	0.092784	0
20.037031	10	0.103093	0
20.037031	97	1.000000	1
30.044741	1	0.005076	0
30.044741	2	0.010152	0
30.044741	3	0.015228	0
30.044741	4	0.020305	0
30.044741	5	0.025381	0
30.044741	6	0.030457	0
30.044741	7	0.035533	0
30.044741	8	0.040609	0
30.044741	9	0.045685	0
30.044741	10	0.050761	0
30.044741	197	1.000000	1
40.049496	1	0.002890	0
40.049496	2	0.005780	0
40.049496	3	0.008671	0
40.049496	4	0.011561	0
40.049496	5	0.014451	0
40.049496	6	0.017341	0
40.049496	7	0.020231	0
40.049496	8	0.023121	0
40.049496	9	0.026012	0
40.049496	10	0.028902	0
40.049496	346	1.000000	1
50.052204	1	0.002212	0
50.052204	2	0.004425	0
50.052204	3	0.006637	0
50.052204	4	0.008850	0
50.052204	5	0.011062	0
50.052204	6	0.013274	0
50.052204	7	0.015487	0
50.052204	8	0.017699	0
50.052204	9	0.019912	0
50.052204	10	0.022124	0
50.052204	452	1.000000	1
60.056553	1	0.002016	0
60.056553	2	0.004032	0
60.056553	3	0.006048	0
60.056553	4	0.008065	0
60.056553	5	0.010081	0
60.056553	6	0.012097	0
60.056553	7	0.014113	0
60.056553	8	0.016129	0
60.056553	9	0.018145	0
60.056553	10	0.020161	0
60.056553	496	1.000000	1
70.060364	1	0.002123	0
70.060364	2	0.004246	0
70.060364	3	0.006369	0
70.060364	4	0.008493	0
70.060364	5	0.010616	0
70.060364	6	0.012739	0
70.060364	7	0.014862	0
70.060364	8	0.016985	0
70.060364	9	0.019108	0
70.060364	10	0.021231	0
70.060364	471	1.000000	1
80.062851	1	0.001808	0
80.062851	2	0.003617	0
80.062851	3	0.005425	0
80.062851	4	0.007233	0
80.062851	5	0.009042	0
80.062851	6	0.010850	0
80.062851	7	0.012658	0
80.062851	8	0.014467	0
80.062851	9	0.016275	0
80.062851	10	0.018083	0
80.062851	553	1.000000	1
90.064407	1	0.001621	0
90.064407	2	0.003241	0
90.064407	3	0.004862	0
90.064407	4	0.006483	0
90.064407	5	0.008104	0
90.064407	6	0.009724	0
90.064407	7	0.011345	0
90.064407	8	0.012966	0
90.064407	9	0.014587	0
90.064407	10	0.016207	0
90.064407	617	1.000000	1
100.068428	1	0.001319	0
100.068428	2	0.002639	0
100.068428	3	0.003958	0
100.068428	4	0.005277	0
100.068428	5	0.006596	0
100.068428	6	0.007916	0
100.068428	7	0.009235	0
100.068428	8	0.010554	0
100.068428	9	0.011873	0
100.068428	10	0.013193	0
100.068428	758	1.000000	1
110.071037	1	0.000994	0
110.071037	2	0.001988	0
110.071037	3	0.002982	0
110.071037	4	0.003976	0
110.071037	5	0.004970	0
110.071037	6	0.005964	0
110.071037	7	0.006958	0
110.071037	8	0.007952	0
110.071037	9	0.008946	0
110.071037	10	0.009940	0
110.071037	1006	1.000000	1
120.073700	1	0.000651	0
120.073700	2	0.001302	0
120.073700	3	0.001953	0
120.073700	4	0.002604	0
120.073700	5	0.003255	0
120.073700	6	0.003906	0
120.073700	7	0.004557	0
120.073700	8	0.005208	0
120.073700	9	0.005859	0
120.073700	10	0.006510	0
120.073700	1536	1.000000	1
130.074921	1	0.000494	0
130.074921	2	0.000988	0
130.074921	3	0.001481	0
130.074921	4	0.001975	0
130.074921	5	0.002469	0
130.074921	6	0.002963	0
130.074921	7	0.003457	0
130.074921	8	0.003951	0
130.074921	9	0.004444	0
130.074921	10	0.004938	0
130.074921	2025	1.000000	1
140.076202	1	0.000398	0
140.076202	2	0.000796	0
140.076202	3	0.001194	0
140.076202	4	0.001592	0
140.076202	5	0.001990	0
140.076202	6	0.002388	0
140.076202	7	0.002786	0
140.076202	8	0.003183	0
140.076202	9	0.003581	0
140.076202	10	0.003979	0
140.076202	2513	1.000000	1
150.077209	1	0.000347	0
150.077209	2	0.000693	0
150.077209	3	0.001040	0
150.077209	4	0.001386	0
150.077209	5	0.001733	0
150.077209	6	0.002079	0
150.077209	7	0.002426	0
150.077209	8	0.002772	0
150.077209	9	0.003119	0
150.077209	10	0.003465	0
150.077209	2886	1.000000	1
160.077698	1	0.000301	0
160.077698	2	0.000602	0
160.077698	3	0.000903	0
160.077698	4	0.001203	0
160.077698	5	0.001504	0
160.077698	6	0.001805	0
160.077698	7	0.002106	0
160.077698	8	0.002407	0
160.077698	9	0.002708	0
160.077698	10	0.003008	0
160.077698	3324	1.000000	1
170.079163	1	0.000249	0
170.079163	2	0.000497	0
170.079163	3	0.000746	0
170.079163	4	0.000994	0
170.079163	5	0.001243	0
170.079163	6	0.001491	0
170.079163	7	0.001740	0
170.079163	8	0.001989	0
170.079163	9	0.002237	0
170.079163	10	0.002486	0
